episode,L_total,L_fwd,L_nll,lr,grad_norm,val_mae,temperature,train_mae_UTS,train_mae_YS,train_mae_elongation,train_mae_reduction_of_area,train_mae_HRC,train_mae_impact_energy_J
0,10.28768253326416,1.7712643146514893,17.0328369140625,0.0002999998334504599,11.016864776611328,0.0,1.0,212.67803955078125,151.87545776367188,6.351972579956055,6.611814498901367,8.06224250793457,24.553455352783203
5,9.993403434753418,1.6056369543075562,16.77553367614746,0.0002999940042597082,14.75525188446045,0.0,0.99875,200.7766571044922,141.82843017578125,6.617053985595703,7.01142692565918,7.644678115844727,23.50745391845703
10,10.041327476501465,1.6855238676071167,16.711606979370117,0.0002999798480028952,13.005904197692871,0.0,0.9975,204.26502990722656,142.7874298095703,6.468460559844971,6.907696723937988,7.722506999969482,23.993907928466797
15,9.975626945495605,1.6633272171020508,16.62459945678711,0.00029995736555324544,12.545795440673828,0.0,0.99625,230.8546905517578,163.0635528564453,7.060874938964844,7.76521110534668,8.708099365234375,26.9279842376709
20,10.051617622375488,1.7716835737228394,16.55986785888672,0.0002999265582975825,8.841144561767578,0.0,0.995,192.22349548339844,137.6454620361328,6.3947978019714355,6.753950119018555,7.408666610717773,23.840152740478516
25,9.96979808807373,1.6402674913406372,16.659061431884766,0.00029988742813624286,7.995337963104248,0.0,0.99375,186.4966583251953,134.69778442382812,5.630648612976074,6.173888206481934,7.0995073318481445,22.3894100189209
30,9.854297637939453,1.577155590057373,16.554285049438477,0.0002998399774829593,5.583096027374268,0.0,0.9925,207.6265106201172,149.3699188232422,6.649968147277832,6.974550247192383,7.970935344696045,26.313730239868164
35,9.647160530090332,1.3666414022445679,16.561038970947266,0.0002997842092647116,7.9650468826293945,0.0,0.99125,224.7547607421875,159.8336639404297,7.370235443115234,7.721347808837891,8.606620788574219,27.292362213134766
40,9.722182273864746,1.4669042825698853,16.510555267333984,0.0002997201269215461,6.810165882110596,0.0,0.99,223.9209442138672,158.387939453125,7.146228313446045,7.590241432189941,8.557944297790527,28.738727569580078
45,9.919899940490723,1.6435034275054932,16.552793502807617,0.0002996477344063637,5.7251362800598145,0.0,0.98875,217.96490478515625,153.79037475585938,6.766831398010254,7.107590675354004,8.276646614074707,25.612567901611328
50,9.966036796569824,1.7783170938491821,16.375438690185547,0.0002995670361846756,6.0416789054870605,0.0,0.9875,214.42205810546875,150.218505859375,6.246243476867676,6.622342586517334,8.128722190856934,24.640743255615234
55,9.929535865783691,1.6706656217575073,16.51774024963379,0.00029947803723432825,8.068327903747559,0.0,0.98625,192.13027954101562,138.68817138671875,5.689998626708984,6.256978988647461,7.331246376037598,21.840042114257812
60,9.74796199798584,1.5621792078018188,16.371564865112305,0.00029938074304519625,11.087531089782715,0.0,0.985,185.30441284179688,131.70941162109375,5.671390533447266,6.052507400512695,7.051577568054199,22.427488327026367
65,9.83829116821289,1.5685601234436035,16.53946304321289,0.0002992751596188433,5.405934810638428,0.0,0.98375,193.45614624023438,137.66305541992188,5.893815040588379,6.208985328674316,7.319239616394043,22.382587432861328
70,10.116068840026855,1.8107330799102783,16.610671997070312,0.0002991612934681527,4.622621536254883,0.0,0.9825,210.97970581054688,152.3311767578125,6.450651168823242,6.615805625915527,8.111750602722168,25.540058135986328
75,9.859322547912598,1.5494606494903564,16.61972427368164,0.0002990391516169248,6.955264568328857,0.0,0.98125,190.8809051513672,136.95269775390625,5.83430290222168,6.065959930419922,7.214017868041992,22.487163543701172
